Generating SQLite file profiles/cudf_10m_nsys.sqlite from profiles/cudf_10m_nsys.nsys-rep
Processing [profiles/cudf_10m_nsys.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)       StdDev (ns)     Style                                                  Range                                                
 --------  ---------------  ---------  ---------------  ---------------  -------------  -------------  ---------------  -------  ----------------------------------------------------------------------------------------------------
     24.8    5,573,618,896          2  2,786,809,448.0  2,786,809,448.0  2,507,460,896  3,066,158,000    395,058,510.9  PushPop  libcudf:read_json                                                                                   
     10.9    2,438,698,432          2  1,219,349,216.0  1,219,349,216.0     19,075,952  2,419,622,480  1,697,442,728.5  PushPop  libcudf:read_batch                                                                                  
      9.7    2,178,379,088          2  1,089,189,544.0  1,089,189,544.0     16,777,488  2,161,601,600  1,516,619,674.0  PushPop  libcudf:device_parse_nested_json                                                                    
      6.2    1,389,556,864          9    154,395,207.1     18,864,000.0     14,583,072    631,603,680    264,944,442.2  PushPop  cudf_python:GroupBy.agg                                                                             
      6.1    1,370,649,760          9    152,294,417.8     18,337,552.0     14,016,096    631,075,088    265,754,608.7  PushPop  libcudf:aggregate                                                                                   
      5.5    1,243,257,168          2    621,628,584.0    621,628,584.0    611,445,840    631,811,328     14,400,574.7  PushPop  cudf_python:GroupBy.nunique                                                                         
      3.2      729,820,848          2    364,910,424.0    364,910,424.0      4,707,936    725,112,912    509,403,243.7  PushPop  libcudf:get_token_stream                                                                            
      2.8      637,198,048        515      1,237,277.8      1,114,048.0        322,080     17,292,640      1,267,230.1  PushPop  libkvikio:task                                                                                      
      2.8      635,404,048        515      1,233,794.3      1,112,352.0        243,936     17,267,088      1,266,405.1  PushPop  libkvikio:std::size_t kvikio::FileHandle::read(void*, std::size_t, std::size_t, std::size_t, bool)  
      2.5      557,361,680          1    557,361,680.0    557,361,680.0    557,361,680    557,361,680              0.0  PushPop  libkvikio:kvikio::CompatModeManager::CompatModeManager(const std::string&, const std::string&, mode…
      2.5      556,689,744          1    556,689,744.0    556,689,744.0    556,689,744    556,689,744              0.0  PushPop  libkvikio:std::optional<CUfileError> kvikio::CUFileHandleWrapper::register_handle(int)              
      2.0      439,794,208          2    219,897,104.0    219,897,104.0      2,999,488    436,794,720    306,739,550.2  PushPop  libcudf:records_orient_tree_traversal                                                               
      1.5      342,464,896          2    171,232,448.0    171,232,448.0      3,671,664    338,793,232    236,966,733.3  PushPop  libcudf:get_tree_representation                                                                     
      1.5      335,091,584          2    167,545,792.0    167,545,792.0      2,180,128    332,911,456    233,862,364.8  PushPop  libcudf:generate_column_id                                                                          
      1.2      279,472,512          3     93,157,504.0    137,062,816.0      1,965,104    140,444,592     78,993,034.3  PushPop  CCCL:thrust::stable_sort                                                                            
      1.1      249,604,784         18     13,866,932.4     10,304,640.0         72,320     51,708,880     15,824,478.6  PushPop  libcudf:device_json_column_to_cudf_column                                                           
      1.1      241,158,864          2    120,579,432.0    120,579,432.0      2,130,816    239,028,048    167,511,639.2  PushPop  libcudf:get_record_range_raw_input                                                                  
      1.0      224,884,944          2    112,442,472.0    112,442,472.0      1,487,488    223,397,456    156,914,043.2  PushPop  libcudf:get_stack_context                                                                           
      0.8      174,204,704          2     87,102,352.0     87,102,352.0      1,161,984    173,042,720    121,538,034.0  PushPop  libcudf:hash_node_path                                                                              
      0.8      172,376,208          7     24,625,172.6     21,158,896.0     16,338,368     52,894,864     12,740,772.2  PushPop  cudf_python:Series.value_counts                                                                     
      0.7      167,113,248          3     55,704,416.0      1,267,280.0        575,552    165,270,416     94,887,569.7  PushPop  libcudf:ingest_raw_input                                                                            
      0.7      154,754,960         20      7,737,748.0      1,495,280.0         38,032     38,628,464     10,459,309.5  PushPop  libcudf:parse_data                                                                                  
      0.7      148,207,664          7     21,172,523.4     19,041,824.0     14,780,816     40,835,552      8,990,683.2  PushPop  cudf_python:GroupBy.count                                                                           
      0.6      137,041,424          3     45,680,474.7      1,042,752.0        100,368    135,898,304     78,132,352.9  PushPop  libcudf:propagate_first_sibling_to_other                                                            
      0.6      129,544,864          6     21,590,810.7        389,480.0          5,232    121,074,256     48,829,230.5  PushPop  CCCL:thrust::stable_sort_by_key                                                                     
      0.5      120,998,352          9     13,444,261.3      8,889,200.0      3,443,888     54,688,208     15,945,525.5  PushPop  libcudf:concatenate                                                                                 
      0.5      112,067,552          5     22,413,510.4     12,728,336.0      2,369,984     54,822,064     21,809,793.0  PushPop  cudf_python:Frame._colwise_binop                                                                    
      0.5      111,004,176          2     55,502,088.0     55,502,088.0        678,032    110,326,144     77,532,923.5  PushPop  libcudf:hash_node_type_with_field_name                                                              
      0.5      104,686,720          2     52,343,360.0     52,343,360.0        817,440    103,869,280     72,868,654.9  PushPop  libcudf:compute_row_offsets                                                                         
      0.5      101,609,472          3     33,869,824.0        792,512.0         70,176    100,746,784     57,918,272.4  PushPop  libcudf:stable_sorted_key_order                                                                     
      0.4       84,737,248          8     10,592,156.0      4,744,664.0         94,432     53,988,080     17,854,976.5  PushPop  cudf_python:Frame.astype                                                                            
      0.4       80,459,984          2     40,229,992.0     40,229,992.0        295,840     80,164,144     56,475,419.4  PushPop  libcudf:reduce_to_column_tree                                                                       
      0.3       69,427,248          4     17,356,812.0      9,952,504.0         50,320     49,471,920     23,350,372.2  PushPop  CCCL:thrust::reduce_by_key                                                                          
      0.3       64,497,904          2     32,248,952.0     32,248,952.0     27,247,152     37,250,752      7,073,613.4  PushPop  CCCL:unique_copy                                                                                    
      0.3       56,579,360          9      6,286,595.6        231,248.0         28,848     44,417,888     14,765,762.2  PushPop  libcudf:table                                                                                       
      0.2       50,660,320        153        331,113.2          6,688.0          2,656      3,006,048        659,425.1  PushPop  libcudf:make_numeric_column                                                                         
      0.2       44,426,192          1     44,426,192.0     44,426,192.0     44,426,192     44,426,192              0.0  PushPop  libcudf:drop_nulls                                                                                  
      0.2       41,268,816         63        655,060.6         32,704.0          6,944      9,858,448      1,920,741.0  PushPop  libcudf:to_arrow_host                                                                               
      0.2       37,892,848         54        701,719.4         10,920.0          3,712     19,775,184      3,191,595.5  PushPop  CCCL:cub::DeviceTransform::TransformIfStableArgumentAddresses                                       
      0.2       37,877,120          8      4,734,640.0      2,070,072.0        934,400     14,414,720      5,589,461.3  PushPop  cudf_python:DataFrame.__setitem__                                                                   
      0.2       37,560,336         31      1,211,623.7         17,168.0            288     19,785,424      4,169,675.3  PushPop  CCCL:thrust::transform                                                                              
      0.1       30,968,624          9      3,440,958.2      3,219,040.0      2,695,664      4,986,160        719,270.9  PushPop  libcudf:infer_data_type                                                                             
      0.1       30,916,928          7      4,416,704.0      4,568,448.0        109,328     10,355,456      3,632,701.8  PushPop  cudf_python:Series.astype                                                                           
      0.1       30,723,408          5      6,144,681.6      4,945,744.0      3,642,128     10,384,800      2,667,441.8  PushPop  cudf_python:Series.fillna                                                                           
      0.1       30,610,000          5      6,122,000.0      4,936,816.0      3,634,880     10,377,104      2,677,653.8  PushPop  cudf_python:Frame.fillna                                                                            
